DTY	ARR	TRF	DUR	TTY	TAG	SCD	NCD	EFA
S	2019-05-17 04:50:52.800	G	00:00:00.200	W	0000_000000005972	BRA	4	0.7
S	2019-05-17 04:50:53.600	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 04:50:55.800	G	00:00:00.200	W	0000_000000005972	BRA	7	0.7
S	2019-05-17 04:50:56.600	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 04:50:58.800	G	00:00:00.200	W	0000_000000005972	BRA	7	0.7
S	2019-05-17 04:50:59.500	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 04:51:01.800	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 04:51:02.500	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 04:51:04.800	G	00:00:00.100	W	0000_000000005972	BRA	6	0.7
S	2019-05-17 04:51:05.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 04:51:07.800	G	00:00:00.100	W	0000_000000005972	BRA	6	0.7
S	2019-05-17 04:51:08.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 04:51:10.800	G	00:00:00.100	W	0000_000000005972	BRA	6	0.7
S	2019-05-17 04:51:11.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 04:51:13.800	G	00:00:00.100	W	0000_000000005972	BRA	6	0.7
S	2019-05-17 04:51:14.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 04:51:16.800	G	00:00:00.100	W	0000_000000005972	BRA	6	0.7
S	2019-05-17 04:51:17.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 04:51:19.800	G	00:00:00.100	W	0000_000000005972	BRA	6	0.7
S	2019-05-17 04:51:20.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 04:51:22.400	G	00:00:01.800	A	900_230000087400	BRA	19	0.7
S	2019-05-17 04:51:25.700	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 04:51:26.400	G	00:00:00.200	P	0000_000000005189	BRA	1	0.7
S	2019-05-17 04:51:28.700	G	00:00:00.200	W	0000_000000005972	BRA	7	0.7
S	2019-05-17 04:51:29.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 04:51:30.000	G	00:00:02.300	A	900_228000004988	BRA	24	0.7
S	2019-05-17 04:51:32.500	G	00:00:00.000	P	0000_000000005189	BRA	1	0.7
S	2019-05-17 04:51:34.700	G	00:00:00.200	P	0000_000000005972	BRA	1	0.7
S	2019-05-17 04:51:35.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 04:51:37.300	G	00:00:02.100	A	900_228000004988	BRA	22	0.7
S	2019-05-17 04:51:40.700	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 04:51:41.400	G	00:00:00.100	P	0000_000000005189	BRA	1	0.7
S	2019-05-17 04:51:43.700	G	00:00:00.100	W	0000_000000005972	BRA	6	0.7
S	2019-05-17 04:51:44.000	G	00:00:02.300	A	900_228000004988	BRA	22	0.7
S	2019-05-17 04:51:46.700	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 04:51:47.300	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 04:51:49.700	G	00:00:00.100	P	0000_000000005972	BRA	1	0.7
S	2019-05-17 04:51:50.300	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 04:51:50.900	G	00:00:03.200	A	900_228000004991	BRA	33	0.7
S	2019-05-17 04:51:55.700	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 04:51:56.300	G	00:00:00.100	P	0000_000000005189	BRA	1	0.7
S	2019-05-17 04:51:58.700	G	00:00:00.100	W	0000_000000005972	BRA	6	0.7
S	2019-05-17 04:51:59.300	G	00:00:00.000	P	0000_000000005189	BRA	1	0.7
S	2019-05-17 04:51:59.500	G	00:00:04.000	A	900_228000004996	BRA	41	0.7
S	2019-05-17 04:52:04.600	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 04:52:05.300	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 04:52:06.600	G	00:00:01.600	A	900_228000004991	BRA	17	0.7
S	2019-05-17 04:52:10.600	G	00:00:02.300	A	900_228000004996	BRA	24	0.7
S	2019-05-17 04:52:13.600	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 04:52:14.100	G	00:00:01.800	A	900_228000004991	BRA	23	0.7
S	2019-05-17 04:52:16.600	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 04:52:17.200	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 04:52:19.600	G	00:00:00.100	P	0000_000000005972	BRA	1	0.7
S	2019-05-17 05:15:16.600	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 05:18:15.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 05:19:38.600	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 05:21:15.100	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 05:24:14.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 05:26:37.400	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 05:27:13.600	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 05:30:12.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 05:33:12.100	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 05:33:36.100	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 05:36:11.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 05:39:10.600	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 05:40:34.900	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 05:42:09.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 05:45:09.100	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 05:47:33.700	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 05:48:08.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 05:51:07.700	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 05:54:06.900	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 05:54:32.400	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 05:57:06.200	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:00:05.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:01:31.300	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 06:03:04.700	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:06:03.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:08:30.100	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 06:09:03.100	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 06:12:02.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:15:01.600	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 06:15:28.900	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 06:18:00.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:21:00.100	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 06:22:27.700	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 06:23:59.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:26:58.600	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 06:29:26.400	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 06:29:57.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:32:57.100	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:35:56.300	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:36:25.300	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 06:38:55.600	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:41:54.800	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:43:24.100	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 06:44:54.000	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 06:47:53.300	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:50:22.900	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 06:50:52.500	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 06:53:51.800	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:56:51.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 06:57:21.700	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 06:59:50.200	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 07:02:49.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 07:04:20.600	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 07:05:48.700	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 07:08:48.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 07:11:19.400	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 07:11:47.200	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 07:14:46.400	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 07:17:45.700	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 07:18:18.300	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 07:20:44.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 07:23:44.100	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
