"DTY"	"ARR"	"TRF"	"DUR"	"TTY"	"TAG"	"SCD"	"NCD"	"EFA"	"TCH"	"ANT"	"EMP"	"TSS"	"SPV"	"NOI"	"CLS"
"S"	2020-06-07 15:59:39	"U"	00:00:12.9	"A"	"900_226000584318"	"downstream"	130	0.9	"HDX"	"A1"	373	"522/654"	1195.5	303	" A "
"S"	2020-06-07 15:59:54	"U"	00:00:02.4	"A"	"900_226000584318"	"downstream"	25	0.9	"HDX"	"A1"	16	"412/482"	1195.5	300	" A "
"S"	2020-06-07 15:59:58	"U"	00:00:00.9	"A"	"900_226000584318"	"downstream"	10	0.9	"HDX"	"A1"	18	"450/455"	1197	287	" A "
"S"	2020-06-07 16:00:07	"U"	00:00:00.6	"A"	"900_226000584318"	"downstream"	7	0.9	"HDX"	"A1"	85	"485/562"	1195.5	336	" A "
"S"	2020-06-07 16:00:19	"U"	00:00:02.0	"A"	"900_226000584318"	"downstream"	21	0.9	"HDX"	"A1"	107	"480/558"	1196	288	" A "
"S"	2020-06-07 16:00:27	"U"	00:00:01.4	"A"	"900_226000584318"	"downstream"	15	0.9	"HDX"	"A1"	59	"455/547"	1194.5	327	" A "
"S"	2020-06-07 16:00:39	"U"	00:00:00.2	"A"	"900_226000584318"	"downstream"	3	0.9	"HDX"	"A1"	104	"559/578"	1194	330	" A "
"S"	2020-06-07 16:00:41	"U"	00:00:01.1	"A"	"900_226000584318"	"downstream"	12	0.9	"HDX"	"A1"	16	"510/616"	1194.5	350	" A "
"S"	2020-06-07 16:00:46	"U"	00:00:02.4	"A"	"900_226000584318"	"downstream"	25	0.9	"HDX"	"A1"	42	"436/507"	1193.5	208	" A "
"S"	2020-06-07 16:00:52	"U"	00:00:00.0	"A"	"900_226000584318"	"downstream"	1	0.9	"HDX"	"A1"	35	"434/434"	1195	223	" A "
"S"	2020-06-07 16:00:54	"U"	00:00:00.0	"A"	"900_226000584318"	"downstream"	1	0.9	"HDX"	"A1"	15	"425/425"	1194	291	" A "
"S"	2020-06-07 16:00:59	"U"	00:00:00.0	"A"	"900_226000584318"	"downstream"	1	0.9	"HDX"	"A1"	56	"425/425"	1194	204	" A "
"S"	2020-06-07 16:01:43	"U"	00:00:05.2	"A"	"900_230000009506"	"downstream"	53	0.9	"HDX"	"A1"	436	"485/533"	1193.5	300	" C "
"S"	2020-06-07 16:01:50	"U"	00:00:00.8	"A"	"900_230000009506"	"downstream"	9	0.9	"HDX"	"A1"	15	"458/489"	1193	294	" C "
"S"	2020-06-07 16:01:54	"U"	00:00:00.0	"A"	"900_230000009506"	"downstream"	1	0.9	"HDX"	"A1"	35	"478/478"	1193.5	292	" C "
"S"	2020-06-07 16:02:03	"U"	00:00:00.7	"A"	"900_230000009506"	"downstream"	8	0.9	"HDX"	"A1"	88	"498/509"	1193.5	300	" C "
"S"	2020-06-07 16:02:08	"U"	00:00:01.9	"A"	"900_230000009506"	"downstream"	20	0.9	"HDX"	"A1"	39	"499/522"	1194	312	" C "
"S"	2020-06-07 16:11:48	"U"	00:00:00.0	"A"	"900_226000584318"	"downstream"	1	0.8	"HDX"	"A1"	196	"450/450"	1194	270	" A "
"S"	2020-06-07 16:11:51	"U"	00:00:00.0	"A"	"900_226000584318"	"downstream"	1	0.8	"HDX"	"A1"	31	"474/474"	1195.5	306	" A "
"S"	2020-06-07 16:11:54	"U"	00:00:00.7	"A"	"900_226000584318"	"downstream"	8	0.8	"HDX"	"A1"	34	"432/440"	1194.5	289	" A "
"S"	2020-06-07 16:12:08	"U"	00:00:00.0	"A"	"900_226000584318"	"downstream"	1	0.8	"HDX"	"A1"	125	"472/472"	1193.5	303	" A "
"S"	2020-06-07 16:12:13	"U"	00:00:00.9	"A"	"900_226000584318"	"downstream"	10	0.8	"HDX"	"A1"	55	"538/574"	1194	336	" A "
"S"	2020-06-07 16:12:18	"U"	00:00:00.0	"A"	"900_226000584318"	"downstream"	1	0.8	"HDX"	"A1"	32	"492/492"	1194	301	" A "
"S"	2020-06-07 16:12:33	"U"	00:00:00.0	"A"	"900_226000584318"	"downstream"	1	0.8	"HDX"	"A1"	150	"493/493"	1194.5	313	" A "
"S"	2020-06-07 16:13:00	"U"	00:00:01.8	"A"	"900_230000009506"	"downstream"	19	0.8	"HDX"	"A1"	273	"520/530"	1193	322	" C "
"S"	2020-08-10 16:03:18	"G"	00:00:00.0	"A"	"900_230000009506"	"downstream"	1	0.9	"HDX"	"A1"	591	"535/535"	1261.5	346	" C "
"S"	2020-08-10 16:03:19	"G"	00:00:04.7	"A"	"900_230000009506"	"downstream"	48	0.9	"HDX"	"A1"	14	"453/614"	1260.5	304	" C "
"S"	2020-08-10 16:03:27	"G"	00:00:00.8	"A"	"900_230000009506"	"downstream"	9	0.9	"HDX"	"A1"	27	"499/536"	1261.5	327	" C "
"S"	2020-08-10 16:03:37	"G"	00:00:00.1	"A"	"900_230000009506"	"downstream"	2	0.9	"HDX"	"A1"	93	"505/513"	1260.5	318	" C "
"S"	2020-08-10 16:03:41	"G"	00:00:00.3	"A"	"900_230000009506"	"downstream"	4	0.9	"HDX"	"A1"	39	"482/515"	1261	318	" C "
"S"	2020-08-10 16:03:45	"G"	00:00:01.4	"A"	"900_230000009506"	"downstream"	15	0.9	"HDX"	"A1"	33	"501/541"	1261	342	" C "
"S"	2020-08-10 16:04:29	"G"	00:00:00.5	"A"	"900_230000009506"	"downstream"	6	0.9	"HDX"	"A1"	423	"565/690"	1260	423	" C "
"S"	2020-08-10 16:05:03	"G"	00:00:00.0	"A"	"900_226000980150"	"downstream"	1	0.9	"HDX"	"A1"	340	"439/439"	1260.5	295	" A "
"S"	2020-08-10 16:05:06	"G"	00:00:01.5	"A"	"900_226000980150"	"downstream"	16	0.9	"HDX"	"A1"	27	"476/566"	1259	334	" A "
