"DTY"	"ARR"	"TRF"	"DUR"	"TTY"	"TAG"	"SCD"	"NCD"	"EFA"	"TCH"	"ANT"	"EMP"	"TSS"	"SPV"	"NOI"	"CLS"
"S"	2020-07-09 19:33:18	"U"	00:00:02.6	"A"	"900_230000009506"	"upstream"	27	1.1	"HDX"	"A1"	31	"527/628"	1367	359	" C "
"S"	2020-07-09 19:33:22	"U"	00:00:01.4	"A"	"900_230000009506"	"upstream"	15	1.1	"HDX"	"A1"	16	"450/502"	1367	333	" C "
"S"	2020-07-09 19:33:37	"U"	00:00:01.0	"A"	"900_226000980150"	"upstream"	11	1.1	"HDX"	"A1"	132	"500/526"	1365.5	340	" A "
"S"	2020-07-09 19:33:40	"U"	00:00:00.2	"A"	"900_226000980150"	"upstream"	3	1.1	"HDX"	"A1"	22	"495/525"	1366	356	" A "
"S"	2020-07-09 19:33:42	"U"	00:00:03.1	"A"	"900_226000980150"	"upstream"	32	1.1	"HDX"	"A1"	16	"459/526"	1364	343	" A "
"S"	2020-07-09 19:33:48	"U"	00:00:00.1	"A"	"900_226000980150"	"upstream"	2	1.1	"HDX"	"A1"	29	"473/478"	1364	331	" A "
"S"	2020-08-10 17:57:26	"G"	00:00:00.8	"A"	"900_230000009506"	"upstream"	9	1.1	"HDX"	"A1"	2905	"471/568"	1354.5	383	" C "
"S"	2020-08-10 17:57:29	"G"	00:00:03.1	"A"	"900_230000009506"	"upstream"	32	1.1	"HDX"	"A1"	24	"518/576"	1354	361	" C "
"S"	2020-08-10 17:57:34	"G"	00:00:00.2	"A"	"900_230000009506"	"upstream"	3	1.2	"HDX"	"A1"	24	"489/516"	1354.5	346	" C "
"S"	2020-08-10 17:57:37	"G"	00:00:02.9	"A"	"900_230000009506"	"upstream"	30	1.1	"HDX"	"A1"	24	"464/583"	1354.5	372	" C "
"S"	2020-08-10 17:57:42	"G"	00:00:01.0	"A"	"900_230000009506"	"upstream"	11	1.1	"HDX"	"A1"	17	"514/532"	1354.5	368	" C "
"S"	2020-08-10 17:57:55	"G"	00:00:00.4	"A"	"900_226000980150"	"upstream"	5	1	"HDX"	"A1"	117	"471/480"	1353.5	337	" A "
"S"	2020-08-10 17:57:58	"G"	00:00:01.0	"A"	"900_226000980150"	"upstream"	11	1.2	"HDX"	"A1"	33	"468/492"	1354.5	346	" A "
"S"	2020-08-10 21:12:05	"G"	00:00:02.9	"A"	"900_228000541363"	"upstream"	30	1.1	"HDX"	"A1"	65534	"494/719"	1281	351	" B "
