HSG*> up
Reader: Study Reader 1   Site: RD1
--------- Upload #5, 261 records ---------
DTY	ARR	TRF	DUR	TTY	TAG	SCD	NCD	EFA	TCH	ANT	EMP	TSS	SPV	NOI	CLS
E	2021-08-01 13:14:08.656	G	End of upload #4
S	2021-08-01 13:52:02.500	G	00:00:05.600	A	900_226000584318	RD1	57	0.8	HDX	A1	359	477/606	1341.0	362	 A 
S	2021-08-01 13:52:10.400	G	00:00:00.400	A	900_226000584318	RD1	5	0.8	HDX	A1	22	526/548	1345.0	402	 A 
S	2021-08-01 13:52:15.800	G	00:00:01.300	A	900_226000584318	RD1	14	0.8	HDX	A1	49	522/561	1344.0	386	 A 
S	2021-08-01 13:52:20.500	G	00:00:00.000	A	900_226000584318	RD1	1	0.8	HDX	A1	33	510/510	1343.0	399	 A 
S	2021-08-01 13:52:23.300	G	00:00:04.000	A	900_226000584318	RD1	41	0.8	HDX	A1	27	508/573	1339.0	397	 A 
S	2021-08-01 13:52:29.400	G	00:00:00.000	A	900_226000584318	RD1	1	0.9	HDX	A1	20	491/491	1339.5	391	 A 
S	2021-08-01 13:52:31.500	G	00:00:01.900	A	900_226000584318	RD1	20	0.9	HDX	A1	20	500/535	1340.0	379	 A 
S	2021-08-01 13:52:40.900	G	00:00:04.600	A	900_226000584318	RD1	47	0.7	HDX	A1	74	512/638	1344.5	387	 A 
S	2021-08-01 13:52:47.300	G	00:00:01.000	A	900_226000584318	RD1	11	0.8	HDX	A1	17	493/563	1344.0	382	 A 
S	2021-08-01 13:52:50.800	G	00:00:08.900	A	900_226000584318	RD1	90	0.8	HDX	A1	24	496/690	1342.0	383	 A 
S	2021-08-01 13:53:03.000	G	00:00:00.700	A	900_226000584318	RD1	8	0.8	HDX	A1	32	511/531	1339.0	375	 A 
S	2021-08-01 13:53:21.200	G	00:00:11.900	R	0000_0000000168273013	RD1	120	0.9	HDX	A1	174	484/726	1335.5	380	 E 
S	2021-08-01 13:53:36.400	G	00:00:00.800	R	0000_0000000168273013	RD1	9	0.9	HDX	A1	32	487/490	1341.5	375	 E 
S	2021-08-01 13:53:45.300	G	00:00:03.300	A	900_230000009506	RD1	34	0.8	HDX	A1	80	505/720	1342.0	372	 C 
S	2021-08-01 13:53:51.700	G	00:00:01.700	A	900_230000009506	RD1	18	0.9	HDX	A1	30	505/533	1343.5	386	 C 
