>UP
UP
Upload #9
Reader: Noname  Site: SE3
--------- upload 9 start ---------
Type,Date,Time,Duration,Type,Tag ID,Count,Gap
E,2021-01-19,08:06:31.07,"upload 8 complete"
E,2021-01-19,08:10:17.83,"supply power ok 13.4V"
E,2021-01-19,08:10:17.83,"database file opened"
E,2021-01-19,08:10:17.83,"starting reader after power up"
D,2021-01-19,08:10:17.77,00:00:00.20,HA,900_226000923049,3,2
D,2021-01-19,08:10:18.18,00:00:00.00,HA,900_226000923049,1,1
D,2033-01-19,08:10:16.05,00:00:00.20,HA,900_226000923049,3,8
D,2021-01-19,08:10:16.45,00:00:01.02,HA,900_226000923049,11,1
D,2021-01-19,08:10:17.77,00:00:00.20,HA,900_226000923049,3,2
D,2021-01-19,08:10:18.18,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,08:10:20.00,00:00:00.10,HA,900_226000923049,2,17
D,2021-01-19,08:10:20.30,00:00:00.10,HA,900_226000923049,2,1
D,2021-01-19,08:10:21.02,00:00:00.00,HA,900_226000923049,1,5
D,2021-01-19,08:10:21.22,00:00:00.20,HA,900_226000923049,3,1
E,2021-01-19,10:02:55.48,"supply power ok 13.9V"
E,2021-01-19,10:02:55.48,"database file opened"
E,2021-01-19,10:02:55.48,"starting reader after power up"
E,2021-01-19,10:04:31.03,"supply power ok 13.8V"
E,2021-01-19,10:04:31.03,"database file opened"
E,2021-01-19,10:04:31.03,"starting reader after power up"
E,2021-01-19,10:06:34.48,"supply power ok 13.8V"
E,2021-01-19,10:06:34.48,"database file opened"
E,2021-01-19,10:06:34.48,"starting reader after power up"
D,2021-01-19,10:06:41.89,00:00:00.00,HA,900_226000923049,1,119
D,2021-01-19,10:06:42.40,00:00:00.00,HA,900_226000923049,1,4
D,2021-01-19,10:06:42.71,00:00:00.00,HA,900_226000923049,1,2
D,2021-01-19,10:06:43.01,00:00:00.20,HA,900_226000923049,3,2
D,2021-01-19,10:06:43.41,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:06:43.61,00:00:00.10,HA,900_226000923049,2,1
D,2021-01-19,10:06:44.03,00:00:00.00,HA,900_226000923049,1,2
D,2021-01-19,10:06:44.23,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:06:44.43,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:06:44.63,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:06:45.04,00:00:00.00,HA,900_226000923049,1,3
D,2021-01-19,10:06:45.34,00:00:00.10,HA,900_226000923049,2,2
D,2021-01-19,10:06:49.29,00:00:00.30,HA,900_226000923049,4,0
D,2021-01-19,10:06:49.79,00:00:00.41,HA,900_226000923049,5,1
B,2003-00-B9,u3:20:M1.58,"Bad typecode: 65"
D,2021-01-19,10:06:47.97,00:00:01.62,HA,900_226000923049,17,0
D,2021-01-19,10:06:49.79,00:00:00.51,HA,900_226000923049,6,1
D,2021-01-19,10:06:49.71,00:00:00.20,HA,900_226000923049,3,3
D,2021-01-19,10:06:50.11,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:06:50.31,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:06:50.81,00:00:00.00,HA,900_226000923049,1,4
D,2021-01-19,10:06:51.02,00:00:00.11,HA,900_226000923049,2,1
D,2021-01-19,10:06:51.43,00:00:00.10,HA,900_226000923049,2,2
D,2021-01-19,10:06:55.58,00:00:00.10,HA,900_226000923049,2,39
D,2021-01-19,10:06:56.38,00:00:00.00,HA,900_226000923049,1,6
D,2021-01-19,10:06:56.88,00:00:00.00,HA,900_226000923049,1,4
D,2021-01-19,10:06:57.30,00:00:00.10,HA,900_226000923049,2,3
D,2021-01-19,10:06:57.60,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:07:17.45,00:00:00.00,HA,900_226000923049,1,196
D,2021-01-19,10:07:17.65,00:00:00.41,HA,900_226000923049,5,1
D,2021-01-19,10:07:18.36,00:00:00.00,HA,900_226000923049,1,2
D,2021-01-19,10:07:18.66,00:00:01.83,HA,900_226000923049,19,2
D,2021-01-19,10:07:20.70,00:00:00.10,HA,900_226000923049,2,1
D,2021-01-19,10:07:21.00,00:00:00.20,HA,900_226000923049,3,1
D,2021-01-19,10:07:21.40,00:00:00.10,HA,900_226000923049,2,1
D,2021-01-19,10:07:21.90,00:00:00.00,HA,900_226000923049,1,3
D,2021-01-19,10:07:22.12,00:00:00.10,HA,900_226000923049,2,1
D,2021-01-19,10:07:22.42,00:00:00.10,HA,900_226000923049,2,1
